UNIQID	Description	9081	41405	33194	37514	20727
UniRef100_A1BQ64	NA	5	123	7	109	23
UniRef100_A8ND21	NA	14	75	49	7	71
UniRef100_A8NE40	NA	14	56	100	25	4
UniRef100_A8NE58	NA	2	112	108	44	76
UniRef100_A8NEN6	NA	1	9	2	25	65
UniRef100_A8NER6	NA	37	22	108	45	1
UniRef100_A8NF47	NA	1	1	1	98	31
UniRef100_A8NF63	NA	14	72	60	87	49
UniRef100_A8NFC5	NA	5	49	49	2	48
UniRef100_A8NFM4	NA	1	77	7	109	57
UniRef100_A8NFR2	NA	2	11	45	12	49
UniRef100_A8NG31	NA	39	3	7	16	28
UniRef100_A8NGD6	NA	43	59	72	44	82
UniRef100_A8NGJ2	NA	48	34	91	107	71
UniRef100_A8NGW0	NA	1	70	34	91	1
UniRef100_A8NGY4	NA	24	75	41	56	57
UniRef100_A8NHD8	NA	5	132	50	16	10
UniRef100_A8NHP7	NA	2	87	98	63	1
UniRef100_A8NHS7	NA	31	86	100	37	76
UniRef100_A8NI89	NA	46	9	64	34	75
UniRef100_A8NIF9	NA	2	41	86	127	22
UniRef100_A8NIG1	NA	11	43	37	51	25
UniRef100_A8NIL3	NA	1	9	66	60	22
UniRef100_A8NIP7	NA	24	133	77	45	38
UniRef100_A8NIV0	NA	1	9	77	84	65
UniRef100_A8NJ93	NA	14	123	93	34	22
UniRef100_A8NJ96	NA	24	19	17	41	71
UniRef100_A8NJB2	NA	14	87	7	92	3
UniRef100_A8NJN3	NA	24	50	100	41	49
UniRef100_A8NJP0	NA	2	64	45	45	22
UniRef100_A8NJP5	NA	1	26	89	33	69
UniRef100_A8NJQ2	NA	2	123	77	29	49
UniRef100_A8NJR2	NA	4	19	86	40	57
UniRef100_A8NJX0	NA	14	129	39	85	47
UniRef100_A8NJZ6	NA	13	100	69	7	8
UniRef100_A8NK03	NA	1	1	1	97	1
UniRef100_A8NK70	NA	1	56	77	7	1
UniRef100_A8NKP8	NA	2	50	86	74	57
UniRef100_A8NKQ0	NA	18	63	3	66	46
UniRef100_A8NL86	NA	24	105	34	58	23
UniRef100_A8NLA0	NA	31	106	15	98	6
UniRef100_A8NLA3	NA	14	31	2	110	2
UniRef100_A8NLD5	NA	14	123	34	44	49
UniRef100_A8NLD7	NA	43	49	66	40	20
UniRef100_A8NLE0	NA	11	133	100	58	37
UniRef100_A8NM49	NA	37	56	3	29	38
UniRef100_A8NM56	NA	14	115	34	56	38
UniRef100_A8NMF5	NA	2	87	85	60	1
UniRef100_A8NMG1	NA	30	115	22	118	55
UniRef100_A8NNB2	NA	8	72	86	88	49
UniRef100_A8NNB6	NA	2	14	15	40	57
UniRef100_A8NNE9	NA	32	23	65	130	44
UniRef100_A8NNG9	NA	2	22	49	21	2
UniRef100_A8NNK8	NA	2	31	17	97	22
UniRef100_A8NNL2	NA	2	3	15	25	65
UniRef100_A8NNP2	NA	24	119	108	7	33
UniRef100_A8NNQ3	NA	13	22	30	66	76
UniRef100_A8NNU2	NA	2	41	77	25	22
UniRef100_A8NNX4	NA	2	117	15	7	38
UniRef100_A8NNZ1	NA	39	72	17	127	6
UniRef100_A8NP01	NA	3	54	11	56	30
UniRef100_A8NP03	NA	19	3	1	21	28
UniRef100_A8NP32	NA	1	19	49	60	57
UniRef100_A8NP75	NA	1	133	86	59	1
UniRef100_A8NPI6	NA	2	114	22	49	65
UniRef100_A8NPJ4	NA	5	107	25	81	32
UniRef100_A8NPQ8	NA	2	75	67	29	38
UniRef100_A8NQE1	NA	1	63	17	34	1
UniRef100_A8NQF3	NA	1	2	1	1	27
UniRef100_A8NQF6	NA	23	86	34	88	21
UniRef100_A8NQI3	NA	31	82	84	64	1
UniRef100_A8NQJ7	NA	1	66	1	109	2
UniRef100_A8NR23	NA	44	73	49	16	1
UniRef100_A8NRG3	NA	6	68	16	124	23
UniRef100_A8NS61	NA	1	19	93	44	57
UniRef100_A8NSA7	NA	43	88	78	92	1
UniRef100_A8NSA9	NA	44	91	45	121	1
UniRef100_A8NSE5	NA	24	56	93	88	22
UniRef100_A8NSF2	NA	24	140	2	45	4
UniRef100_A8NSG0	NA	1	60	34	74	49
UniRef100_A8NSW0	NA	1	115	49	88	37
UniRef100_A8NSW2	NA	43	115	2	32	82
UniRef100_A8NT43	NA	31	123	34	66	22
UniRef100_A8NTN6	NA	43	79	77	29	76
UniRef100_A8NTR9	NA	41	94	32	90	70
UniRef100_A8NTW6	NA	1	31	22	127	38
UniRef100_A8NU48	NA	1	46	41	11	1
UniRef100_A8NU55	NA	1	89	67	100	1
UniRef100_A8NU56	NA	31	71	100	109	26
UniRef100_A8NU76	NA	1	1	1	40	17
UniRef100_A8NUI7	NA	1	105	49	37	71
UniRef100_A8NUR0	NA	2	9	66	73	38
UniRef100_A8NUR6	NA	14	117	66	120	2
UniRef100_A8NUW9	NA	12	2	100	40	10
UniRef100_A8NV24	NA	21	80	6	99	48
UniRef100_A8NVJ2	NA	1	31	7	118	57
UniRef100_A8NVM5	NA	44	131	74	72	6
UniRef100_A8NVQ5	NA	8	110	60	110	77
UniRef100_A8NVR0	NA	1	9	15	21	22
UniRef100_A8NVU3	NA	2	55	46	133	4
UniRef100_A8NVW7	NA	45	114	82	25	66
UniRef100_A8NVZ8	NA	37	37	108	3	1
UniRef100_A8NW35	NA	17	77	113	60	25
UniRef100_A8NW78	NA	1	1	1	2	43
UniRef100_A8NWA8	NA	1	31	17	88	1
UniRef100_A8NWD0	NA	1	26	70	89	22
UniRef100_A8NWF8	NA	14	140	66	34	57
UniRef100_A8NWS2	NA	39	41	77	11	38
UniRef100_A8NWV8	NA	24	3	17	127	38
UniRef100_A8NWW2	NA	1	64	35	74	38
UniRef100_A8NWZ3	NA	14	64	60	127	1
UniRef100_A8NXR7	NA	12	71	42	75	18
UniRef100_A8NXV0	NA	1	85	62	42	2
UniRef100_A8NY31	NA	14	22	93	42	22
UniRef100_A8NY32	NA	2	63	108	3	38
UniRef100_A8NY90	NA	14	9	49	37	38
UniRef100_A8NYB2	NA	24	54	28	62	4
UniRef100_A8NYB5	NA	1	1	1	42	67
UniRef100_A8NZ57	NA	14	140	62	16	57
UniRef100_A8NZA4	NA	37	132	92	49	3
UniRef100_A8NZC1	NA	39	31	93	21	57
UniRef100_A8NZD1	NA	2	69	34	2	2
