"","library","life.st","source.p","raw.reads","lowqal","AcrRNA","eelmRNA","eelrRNA","Cercozoa","valid","valid.span","mapping.unique","mapping.Ac","mapping.MN","over.32"
"1","E1","adult f","Europe R","209325","92744","76403","4835","13112","0","22231","7167338",12023,8359,5883,3595
"2","E2","adult f","Europe P","111746","10903","11213","3613","69","0","85948","24046225",65398,61073,48009,34115
"3","L2","L2 lavae","Europe R","112718","15653","30654","1220","1603","5286","58302","16661548",39690,12917,8475,1602
"4","M","adult m","Asia C","106726","15484","31351","1187","418","0","58286","17424408",36782,31673,18998,10543
"5","T1","adult f","Asia C","99482","7947","24929","7475","514","0","58617","14443123",42529,37306,28970,21413
"6","T2","adult f","Asia W","116366","27683","7233","11741","38","0","69671","20749177",55966,50445,41963,22909
